Index Name,Date,Open,High,Low,Close,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,vix
NIFTY 50,2024-12-31,23560.6,23689.85,23460.45,23644.8,,,,,,,14.44999981
NIFTY 50,2024-12-30,23796.9,23915.35,23599.3,23644.9,15507.56,17400.72,-1893.16,41786.62,39612.76,2173.86,13.97000027
NIFTY 50,2024-12-27,23801.4,23938.85,23800.6,23813.4,5368.36,6691.65,-1323.29,9436.86,6892.22,2544.64,13.23999977
NIFTY 50,2024-12-26,23775.8,23854.5,23653.6,23750.2,4256.31,6632.98,-2376.67,11592.43,8256.27,3336.16,14.03999996
NIFTY 50,2024-12-24,23769.1,23867.65,23685.15,23727.65,4932.76,7386.97,-2454.21,10514.3,7695.05,2819.25,13.18000031
NIFTY 50,2024-12-23,23738.2,23869.55,23647.2,23753.45,8705.49,8874.2,-168.71,11083.76,8856.08,2227.68,13.52000046
NIFTY 50,2024-12-20,23960.7,24065.8,23537.35,23587.5,30297.83,33895.65,-3597.82,20119.41,18745.04,1374.37,15.06999969
NIFTY 50,2024-12-19,23877.15,24004.9,23870.3,23951.7,12685.41,16910.33,-4224.92,14699.53,10756.29,3943.24,14.51000023
NIFTY 50,2024-12-18,24297.95,24394.45,24149.85,24198.85,13345.2,14662.01,-1316.81,14068.09,9984.01,4084.08,14.36999989
NIFTY 50,2024-12-17,24584.8,24624.1,24303.45,24336.0,15558.53,21968.39,-6409.86,11996.54,9290.06,2706.48,14.48999977
NIFTY 50,2024-12-16,24753.4,24781.25,24601.75,24668.25,11678.24,11956.94,-278.7,8636.76,8871.01,-234.25,14.02000046
NIFTY 50,2024-12-13,24498.35,24792.3,24180.8,24768.3,15968.39,13633.07,2335.32,9616.97,10349.17,-732.2,13.05000019
NIFTY 50,2024-12-12,24604.45,24675.25,24527.95,24548.7,14503.85,18063.86,-3560.01,13418.45,10771.8,2646.65,13.18999958
NIFTY 50,2024-12-11,24620.5,24691.75,24583.85,24641.8,11528.68,12540.92,-1012.24,11396.21,9388.36,2007.85,13.27000046
NIFTY 50,2024-12-10,24652.65,24677.8,24510.65,24610.05,19936.98,18651.02,1285.96,11264.73,10658.94,605.79,13.77999973
NIFTY 50,2024-12-09,24633.9,24705.0,24580.05,24619.0,16650.44,15926.17,724.27,10429.71,12077.78,-1648.07,14.10999966
NIFTY 50,2024-12-06,24729.45,24751.05,24620.5,24677.8,12013.83,13844.14,-1830.31,11651.37,9992.31,1659.06,14.14000034
NIFTY 50,2024-12-05,24539.15,24857.75,24295.55,24708.4,24716.78,16176.87,8539.91,13395.84,15699.48,-2303.64,14.52999973
NIFTY 50,2024-12-04,24488.75,24573.2,24366.3,24467.45,19968.95,18171.35,1797.6,14082.28,14982.9,-900.62,14.44999981
