Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
29-Dec-16,"4,487.84","5,150.13",-662.29,"3,094.12","2,136.29",957.83
28-Dec-16,"2,294.86","2,821.92",-527.06,"2,206.64","1,381.80",824.84
27-Dec-16,"1,630.58","2,342.75",-712.17,"2,558.64","1,056.23","1,502.41"
26-Dec-16,987.6,"2,082.64","-1,095.04","2,106.71","1,041.32","1,065.39"
23-Dec-16,"2,073.85","3,536.50","-1,462.65","2,624.87","1,009.93","1,614.94"
22-Dec-16,"3,652.17","4,266.57",-614.4,"1,891.26","1,571.47",319.79
21-Dec-16,"3,610.69","4,788.77","-1,178.08","2,097.80","1,039.84","1,057.96"
20-Dec-16,"3,278.43","3,964.36",-685.93,"1,798.47","1,379.54",418.93
19-Dec-16,"3,078.44","3,614.21",-535.77,"1,811.32","1,254.96",556.36
16-Dec-16,"6,835.01","6,925.37",-90.36,"2,184.45","2,153.97",30.48
15-Dec-16,"3,780.65","4,392.62",-611.97,"1,989.21","2,166.69",-177.48
14-Dec-16,"4,178.33","4,810.62",-632.29,"1,749.48","1,538.62",210.86
13-Dec-16,"3,969.39","6,150.42","-2,181.03","1,531.99","1,353.07",178.92
12-Dec-16,"2,550.99","2,645.44",-94.45,962.26,"1,228.46",-266.2
09-Dec-16,"3,662.72","3,462.20",200.52,"1,608.44","1,318.87",289.57
08-Dec-16,"4,322.71","3,623.85",698.86,"1,606.08","1,541.76",64.32
07-Dec-16,"3,941.02","3,747.36",193.66,"1,731.59","1,787.87",-56.28
06-Dec-16,"3,109.03","2,947.23",161.8,"1,162.70","1,327.38",-164.68
05-Dec-16,"3,332.96","3,650.81",-317.85,"1,381.33","1,217.69",163.64
02-Dec-16,"4,041.40","4,231.92",-190.52,"1,637.36","2,055.94",-418.58
01-Dec-16,"3,499.65","3,902.27",-402.62,"1,879.47","1,641.66",237.81
29-Nov-16,"4,684.10","5,399.40",-715.3,"2,168.59","1,634.39",534.2
28-Nov-16,"3,960.46","5,396.86","-1,436.40","2,494.85","1,261.06","1,233.79"
25-Nov-16,"3,849.34","4,222.22",-372.88,"2,695.81","1,697.97",997.84
24-Nov-16,"6,175.67","8,185.82","-2,010.15","3,819.15","2,170.93","1,648.22"
23-Nov-16,"4,265.03","5,288.15","-1,023.12","2,695.57","1,440.90","1,254.67"
22-Nov-16,"4,418.49","5,111.34",-692.85,"2,727.86","1,652.66","1,075.20"
21-Nov-16,"4,323.60","5,634.42","-1,310.82","2,635.37","1,424.36","1,211.01"
18-Nov-16,"4,112.43","5,038.75",-926.32,"2,641.10","1,497.66","1,143.44"
17-Nov-16,"4,577.69","5,561.62",-983.93,"2,789.11","1,644.96","1,144.15"
16-Nov-16,"7,341.61","9,298.65","-1,957.04","4,887.66","2,543.35","2,344.31"
15-Nov-16,"8,957.98","11,311.80","-2,353.82","4,810.16","4,914.99",-104.83
11-Nov-16,"5,048.86","6,542.13","-1,493.27","2,887.44","2,822.72",64.72
10-Nov-16,"5,591.93","6,325.42",-733.49,"2,999.80","2,360.61",639.19
09-Nov-16,"5,107.63","7,202.63","-2,095.00","4,753.76","3,637.45","1,116.31"
08-Nov-16,"3,612.74","3,526.08",86.66,"2,351.69","2,057.63",294.06
07-Nov-16,"4,407.65","4,096.47",311.18,"3,530.80","2,750.94",779.86
