Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
30-12-2024,15507.56,17400.72,-1893.16,41786.62,39612.76,2173.86
27-12-2024,5368.36,6691.65,-1323.29,9436.86,6892.22,2544.64
26-12-2024,4256.31,6632.98,-2376.67,11592.43,8256.27,3336.16
24-12-2024,4932.76,7386.97,-2454.21,10514.3,7695.05,2819.25
23-12-2024,8705.49,8874.2,-168.71,11083.76,8856.08,2227.68
20-12-2024,30297.83,33895.65,-3597.82,20119.41,18745.04,1374.37
19-12-2024,12685.41,16910.33,-4224.92,14699.53,10756.29,3943.24
18-12-2024,13345.2,14662.01,-1316.81,14068.09,9984.01,4084.08
17-12-2024,15558.53,21968.39,-6409.86,11996.54,9290.06,2706.48
16-12-2024,11678.24,11956.94,-278.7,8636.76,8871.01,-234.25
13-12-2024,15968.39,13633.07,2335.32,9616.97,10349.17,-732.2
12-12-2024,14503.85,18063.86,-3560.01,13418.45,10771.8,2646.65
11-12-2024,11528.68,12540.92,-1012.24,11396.21,9388.36,2007.85
10-12-2024,19936.98,18651.02,1285.96,11264.73,10658.94,605.79
09-12-2024,16650.44,15926.17,724.27,10429.71,12077.78,-1648.07
06-12-2024,12013.83,13844.14,-1830.31,11651.37,9992.31,1659.06
05-12-2024,24716.78,16176.87,8539.91,13395.84,15699.48,-2303.64
04-12-2024,19968.95,18171.35,1797.6,14082.28,14982.9,-900.62
03-12-2024,22450,18785.33,3664.67,14553.16,14804.15,-250.99
02-12-2024,13605.12,13843.4,-238.28,12456.43,8867.77,3588.66
29-11-2024,14786.35,19169.9,-4383.55,15201.68,9478.34,5723.34
28-11-2024,10796.17,22552.42,-11756.25,17685.35,8967.05,8718.3
27-11-2024,13027.06,13019.28,7.78,10230.12,8928.15,1301.97
26-11-2024,10971.18,9813.48,1157.7,8406.15,10317.01,-1910.86
25-11-2024,85251.94,75304.39,9947.55,17624.75,24532.72,-6907.97
22-11-2024,16985.36,18263.73,-1278.37,12251.72,10529.57,1722.15
21-11-2024,16559.63,21880.31,-5320.68,14555.77,10355.61,4200.16
19-11-2024,15255.09,18666.82,-3411.73,13657.81,10873.92,2783.89
18-11-2024,14256.29,15659.69,-1403.4,11521.42,9190.86,2330.56
14-11-2024,13003.06,14852.93,-1849.87,10200.35,7718.54,2481.81
13-11-2024,15178.17,17680.75,-2502.58,14095.16,7949.92,6145.24
12-11-2024,12542.73,15567.04,-3024.31,10330.28,8475.82,1854.46
11-11-2024,9430.85,11737.73,-2306.88,9848.87,7822.24,2026.63
08-11-2024,9336.94,12740.98,-3404.04,11246.96,9498.52,1748.44
07-11-2024,11736.07,16624.84,-4888.77,11374.43,9587.73,1786.7
06-11-2024,11911.9,16357.49,-4445.59,16061.64,11172.31,4889.33
05-11-2024,11851.47,14420.88,-2569.41,12616.72,9585.76,3030.96
04-11-2024,13786.39,18116.18,-4329.79,12449.82,9513.74,2936.08
01-11-2024,68.79,280.72,-211.93,50.09,427.42,-377.33
30-10-2024,14908.59,19522.24,-4613.65,13594.06,9075.78,4518.28
29-10-2024,15508.5,16057.19,-548.69,12823.77,12093.64,730.13
28-10-2024,13393.3,16621.38,-3228.08,12258.32,10857.47,1400.85
25-10-2024,14209.84,17246.59,-3036.75,15203.44,11044.15,4159.29
24-10-2024,12537.42,17599.87,-5062.45,13827.85,10207.38,3620.47
23-10-2024,14752.71,20437.34,-5684.63,16433.67,10393.77,6039.9
22-10-2024,15579.8,19558.41,-3978.61,16865.8,10996.74,5869.06
21-10-2024,11982.7,14244.53,-2261.83,13741.13,10515.22,3225.91
18-10-2024,12348.95,17834.65,-5485.7,13850.16,8635.33,5214.83
17-10-2024,9721.1,17142.5,-7421.4,16817.01,11837.18,4979.83
16-10-2024,14465.64,17901.58,-3435.94,13432.45,11176.16,2256.29
15-10-2024,16097.89,17846.6,-1748.71,13229.43,11574.47,1654.96
14-10-2024,9364.16,13095.75,-3731.59,11597.52,9319.43,2278.09
11-10-2024,6219.76,10382.42,-4162.66,11906.51,8175.64,3730.87
10-10-2024,16514.3,21440.91,-4926.61,13301.19,9422.86,3878.33
09-10-2024,11726.26,16288.97,-4562.71,14841.81,11333.2,3508.61
08-10-2024,14774.19,20503.79,-5729.6,19494.71,12494.03,7000.68
07-10-2024,14057.25,22350.66,-8293.41,23924.07,10678.95,13245.12
04-10-2024,14524.79,24421.74,-9896.95,20286.53,11381.45,8905.08
03-10-2024,17311.91,32555.18,-15243.27,25294.47,12380.51,12913.96
01-10-2024,12627.79,18207.14,-5579.35,14435.2,9825.65,4609.55
