Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
29-12-2016,4487.84,5150.13,-662.29,3094.12,2136.29,957.83
28-12-2016,2294.86,2821.92,-527.06,2206.64,1381.8,824.84
27-12-2016,1630.58,2342.75,-712.17,2558.64,1056.23,1502.41
26-12-2016,987.6,2082.64,-1095.04,2106.71,1041.32,1065.39
23-12-2016,2073.85,3536.5,-1462.65,2624.87,1009.93,1614.94
22-12-2016,3652.17,4266.57,-614.4,1891.26,1571.47,319.79
21-12-2016,3610.69,4788.77,-1178.08,2097.8,1039.84,1057.96
20-12-2016,3278.43,3964.36,-685.93,1798.47,1379.54,418.93
19-12-2016,3078.44,3614.21,-535.77,1811.32,1254.96,556.36
16-12-2016,6835.01,6925.37,-90.36,2184.45,2153.97,30.48
15-12-2016,3780.65,4392.62,-611.97,1989.21,2166.69,-177.48
14-12-2016,4178.33,4810.62,-632.29,1749.48,1538.62,210.86
13-12-2016,3969.39,6150.42,-2181.03,1531.99,1353.07,178.92
12-12-2016,2550.99,2645.44,-94.45,962.26,1228.46,-266.2
09-12-2016,3662.72,3462.2,200.52,1608.44,1318.87,289.57
08-12-2016,4322.71,3623.85,698.86,1606.08,1541.76,64.32
07-12-2016,3941.02,3747.36,193.66,1731.59,1787.87,-56.28
06-12-2016,3109.03,2947.23,161.8,1162.7,1327.38,-164.68
05-12-2016,3332.96,3650.81,-317.85,1381.33,1217.69,163.64
02-12-2016,4041.4,4231.92,-190.52,1637.36,2055.94,-418.58
01-12-2016,3499.65,3902.27,-402.62,1879.47,1641.66,237.81
29-11-2016,4684.1,5399.4,-715.3,2168.59,1634.39,534.2
28-11-2016,3960.46,5396.86,-1436.4,2494.85,1261.06,1233.79
25-11-2016,3849.34,4222.22,-372.88,2695.81,1697.97,997.84
24-11-2016,6175.67,8185.82,-2010.15,3819.15,2170.93,1648.22
23-11-2016,4265.03,5288.15,-1023.12,2695.57,1440.9,1254.67
22-11-2016,4418.49,5111.34,-692.85,2727.86,1652.66,1075.2
21-11-2016,4323.6,5634.42,-1310.82,2635.37,1424.36,1211.01
18-11-2016,4112.43,5038.75,-926.32,2641.1,1497.66,1143.44
17-11-2016,4577.69,5561.62,-983.93,2789.11,1644.96,1144.15
16-11-2016,7341.61,9298.65,-1957.04,4887.66,2543.35,2344.31
15-11-2016,8957.98,11311.8,-2353.82,4810.16,4914.99,-104.83
11-11-2016,5048.86,6542.13,-1493.27,2887.44,2822.72,64.72
10-11-2016,5591.93,6325.42,-733.49,2999.8,2360.61,639.19
09-11-2016,5107.63,7202.63,-2095.0,4753.76,3637.45,1116.31
08-11-2016,3612.74,3526.08,86.66,2351.69,2057.63,294.06
07-11-2016,4407.65,4096.47,311.18,3530.8,2750.94,779.86
04-11-2016,4277.18,4620.48,-343.3,5115.39,4025.53,1089.86
03-11-2016,3060.22,3766.99,-706.77,2775.42,2240.44,534.98
02-11-2016,3625.45,4292.82,-667.37,2376.08,1968.81,407.27
01-11-2016,4897.3,5021.26,-123.96,2226.9,2034.8,192.1
29-11-2016,4684.1,5399.4,-715.3,2168.59,1634.39,534.2
28-11-2016,3960.46,5396.86,-1436.4,2494.85,1261.06,1233.79
25-11-2016,3849.34,4222.22,-372.88,2695.81,1697.97,997.84
24-11-2016,6175.67,8185.82,-2010.15,3819.15,2170.93,1648.22
23-11-2016,4265.03,5288.15,-1023.12,2695.57,1440.9,1254.67
22-11-2016,4418.49,5111.34,-692.85,2727.86,1652.66,1075.2
21-11-2016,4323.6,5634.42,-1310.82,2635.37,1424.36,1211.01
18-11-2016,4112.43,5038.75,-926.32,2641.1,1497.66,1143.44
17-11-2016,4577.69,5561.62,-983.93,2789.11,1644.96,1144.15
16-11-2016,7341.61,9298.65,-1957.04,4887.66,2543.35,2344.31
15-11-2016,8957.98,11311.8,-2353.82,4810.16,4914.99,-104.83
11-11-2016,5048.86,6542.13,-1493.27,2887.44,2822.72,64.72
10-11-2016,5591.93,6325.42,-733.49,2999.8,2360.61,639.19
09-11-2016,5107.63,7202.63,-2095.0,4753.76,3637.45,1116.31
08-11-2016,3612.74,3526.08,86.66,2351.69,2057.63,294.06
07-11-2016,4407.65,4096.47,311.18,3530.8,2750.94,779.86
04-11-2016,4277.18,4620.48,-343.3,5115.39,4025.53,1089.86
03-11-2016,3060.22,3766.99,-706.77,2775.42,2240.44,534.98
02-11-2016,3625.45,4292.82,-667.37,2376.08,1968.81,407.27
01-11-2016,4897.3,5021.26,-123.96,2226.9,2034.8,192.1
30-10-2016,17.21,123.98,-106.77,30.96,17.81,13.15
28-10-2016,4634.23,5411.81,-777.58,2926.42,1802.34,1124.08
27-10-2016,6195.8,6665.73,-469.93,3291.89,2435.39,856.5
26-10-2016,3905.18,5355.83,-1450.65,2825.97,1836.51,989.46
25-10-2016,3471.76,4078.1,-606.34,2104.76,1715.65,389.11
24-10-2016,3014.06,3339.19,-325.13,2119.48,1786.22,333.26
21-10-2016,3501.42,3774.33,-272.91,2517.59,2017.22,500.37
20-10-2016,2751.57,2744.27,7.3,2480.7,1897.48,583.22
19-10-2016,4218.46,4501.23,-282.77,2711.43,1986.79,724.64
18-10-2016,5626.87,5281.83,345.04,2323.82,2150.46,173.36
17-10-2016,4487.25,4943.89,-456.64,2404.48,2168.91,235.57
14-10-2016,3983.06,4929.48,-946.42,2837.8,2280.9,556.9
13-10-2016,6244.03,7155.56,-911.53,2933.9,2254.41,679.49
10-10-2016,1742.57,2289.83,-547.26,2058.51,1589.55,468.96
07-10-2016,3298.23,3241.98,56.25,2566.65,1839.85,726.8
06-10-2016,3596.12,3242.32,353.8,2285.17,2409.62,-124.45
05-10-2016,3449.13,3206.13,243.0,2079.91,2429.77,-349.86
04-10-2016,4779.15,4435.02,344.13,2315.48,2487.71,-172.23
03-10-2016,3745.1,3710.88,34.22,2479.59,2281.57,198.02
30-09-2016,4474.94,5503.25,-1028.31,3165.92,1605.63,1560.29
29-09-2016,11460.35,8046.98,3413.37,5372.98,3742.1,1630.88
28-09-2016,4766.15,4692.32,73.83,2262.73,2332.26,-69.53
27-09-2016,3650.87,3806.63,-155.76,2225.44,2134.77,90.67
26-09-2016,4381.46,4587.86,-206.4,2396.31,2509.66,-113.35
23-09-2016,5753.41,6053.39,-299.98,2917.21,2421.07,496.14
22-09-2016,4744.31,4407.44,336.87,2715.69,2405.34,310.35
21-09-2016,4216.63,4032.78,183.85,2140.41,2371.0,-230.59
20-09-2016,4118.64,5265.57,-1146.93,3118.97,2341.45,777.52
19-09-2016,4070.93,3865.55,205.38,2040.24,2292.52,-252.28
16-09-2016,11227.46,10566.87,660.59,2589.56,2802.69,-213.13
15-09-2016,3406.73,3061.31,345.42,1804.95,2261.86,-456.91
14-09-2016,4569.1,5046.43,-477.33,2399.36,2407.89,-8.53
12-09-2016,3565.83,4159.44,-593.61,2644.4,2657.3,-12.9
09-09-2016,4006.88,4322.12,-315.24,1899.86,2228.12,-328.26
08-09-2016,4671.07,4559.66,111.41,2152.05,2739.48,-587.43
07-09-2016,5606.66,4752.6,854.06,2406.07,3174.62,-768.55
06-09-2016,5512.56,4073.84,1438.72,2146.33,2414.54,-268.21
02-09-2016,3617.63,3386.44,231.19,2590.57,2455.69,134.88
01-09-2016,3344.28,3645.79,-301.51,2451.15,2142.99,308.16
30-08-2016,4118.1,3727.47,390.63,2443.53,1958.39,485.14
29-08-2016,3193.0,2906.48,286.52,1695.11,1677.62,17.49
26-08-2016,3110.76,2769.41,341.35,1734.67,2001.1,-266.43
25-08-2016,5619.37,5991.45,-372.08,2996.01,3353.03,-357.02
24-08-2016,3092.45,3131.73,-39.28,2186.71,2057.53,129.18
23-08-2016,3587.31,3587.5,-0.19,1729.99,2181.86,-451.87
22-08-2016,3310.95,3611.45,-300.5,1778.26,1725.76,52.5
19-08-2016,4275.47,3865.53,409.94,2088.81,1982.62,106.19
18-08-2016,4239.15,4076.98,162.17,2261.31,2275.73,-14.42
17-08-2016,4033.12,4033.07,0.05,1647.46,1736.83,-89.37
16-08-2016,7238.07,6553.34,684.73,1714.96,1823.94,-108.98
12-08-2016,5754.75,4551.04,1203.71,1908.44,2300.91,-392.47
11-08-2016,4981.46,4373.11,608.35,1870.93,2492.58,-621.65
10-08-2016,4219.07,3806.51,412.56,1811.91,2559.18,-747.27
09-08-2016,4819.72,4675.57,144.15,2302.67,2912.82,-610.15
08-08-2016,5196.48,4040.29,1156.19,1488.9,2365.24,-876.34
05-08-2016,4264.48,3828.85,435.63,2163.06,1546.74,616.32
04-08-2016,4144.11,3584.62,559.49,1682.14,2209.25,-527.11
03-08-2016,4698.8,4120.63,578.17,1674.42,2475.17,-800.75
02-08-2016,4914.92,4378.65,536.27,2234.26,2617.49,-383.23
01-08-2016,5928.19,5201.97,726.22,2159.81,2573.58,-413.77
29-07-2016,5566.32,5580.34,-14.02,2407.01,2258.67,148.34
28-07-2016,8470.01,6702.95,1767.06,2770.94,3845.41,-1074.47
27-07-2016,4862.01,4457.32,404.69,2554.71,2707.18,-152.47
26-07-2016,5488.54,4817.65,670.89,1902.21,2320.5,-418.29
25-07-2016,5020.39,4129.38,891.01,1823.28,1891.17,-67.89
22-07-2016,3865.06,3427.28,437.78,1609.74,1975.41,-365.67
21-07-2016,4293.45,3873.23,420.22,1865.28,2237.68,-372.4
20-07-2016,4669.7,4454.49,215.21,2373.99,2419.44,-45.45
19-07-2016,4237.66,3688.76,548.9,1737.67,2115.1,-377.43
18-07-2016,4126.5,3527.41,599.09,1615.85,2054.94,-439.09
15-07-2016,5823.5,4362.24,1461.26,2439.65,3473.62,-1033.97
14-07-2016,3861.29,2991.45,869.84,1445.86,2320.01,-874.15
13-07-2016,5041.83,4751.3,290.53,1912.86,2567.59,-654.73
12-07-2016,4115.94,3903.02,212.92,2150.98,2031.71,119.27
11-07-2016,4865.31,3809.51,1055.8,1519.64,2130.21,-610.57
08-07-2016,4059.13,3728.51,330.62,1217.46,1730.13,-512.67
07-07-2016,4306.44,4605.95,-299.51,1390.76,1550.74,-159.98
05-07-2016,3237.69,2972.06,265.63,1214.93,1662.41,-447.48
04-07-2016,2992.7,2810.42,182.28,1939.8,1562.35,377.45
01-07-2016,3086.32,3273.83,-187.51,2747.46,1840.41,907.05
29-06-2016,3567.28,3464.37,102.91,1565.76,1585.95,-20.19
28-06-2016,3665.15,3855.58,-190.43,1572.52,1815.23,-242.71
27-06-2016,3420.3,3566.41,-146.11,1434.81,1581.88,-147.07
24-06-2016,3865.55,4494.69,-629.14,2968.9,2853.96,114.94
23-06-2016,3185.92,3104.05,81.87,1656.05,1452.49,203.56
22-06-2016,2841.18,2882.28,-41.1,1856.33,1494.99,361.34
21-06-2016,3714.27,3229.61,484.66,1270.14,1605.67,-335.53
20-06-2016,3065.4,3602.86,-537.46,2104.4,1380.34,724.06
17-06-2016,4650.86,4618.9,31.96,1538.47,1564.68,-26.21
16-06-2016,3061.12,3217.87,-156.75,1802.7,1965.7,-163.0
15-06-2016,3160.24,3268.47,-108.23,1671.85,1437.75,234.1
14-06-2016,2886.71,3000.07,-113.36,1303.96,1336.23,-32.27
13-06-2016,3847.7,3635.46,212.24,1089.23,1687.06,-597.83
10-06-2016,3510.34,3309.02,201.32,1399.39,1565.01,-165.62
09-06-2016,3552.0,3317.8,234.2,1507.03,1824.77,-317.74
08-06-2016,4207.27,3678.11,529.16,1263.74,1521.5,-257.76
07-06-2016,6011.96,5512.23,499.73,1657.55,1611.22,46.33
06-06-2016,5016.42,4988.12,28.3,1288.99,1519.62,-230.63
03-06-2016,5571.69,3986.68,1585.01,1439.25,1832.46,-393.21
02-06-2016,4472.29,3950.44,521.85,1160.57,1737.43,-576.86
01-06-2016,3986.33,3726.43,259.9,1258.41,1418.9,-160.49
30-05-2016,4100.58,3745.04,355.54,1318.83,1529.92,-211.09
27-05-2016,4618.93,4139.04,479.89,2021.94,1952.6,69.34
26-05-2016,6476.35,5895.06,581.29,3047.6,2362.23,685.37
25-05-2016,3741.39,3246.31,495.08,1891.38,1554.16,337.22
24-05-2016,3561.8,4377.33,-815.53,2130.2,1140.25,989.95
23-05-2016,3089.85,3155.45,-65.6,1646.35,1814.12,-167.77
20-05-2016,2997.75,3741.61,-743.86,1683.31,1085.82,597.49
19-05-2016,4205.43,4970.01,-764.58,2725.61,1241.96,1483.65
18-05-2016,3809.48,4060.18,-250.7,1619.99,1380.08,239.91
16-05-2016,3888.85,3968.69,-79.84,1480.4,1608.31,-127.91
13-05-2016,5590.51,4096.63,1493.88,2213.76,1546.73,667.03
12-05-2016,3483.87,3459.73,24.14,1553.11,1294.76,258.35
11-05-2016,4131.71,4493.9,-362.19,2166.17,1436.58,729.59
10-05-2016,3858.41,3529.82,328.59,1647.05,1578.85,68.2
09-05-2016,3900.44,3676.04,224.4,1787.25,1436.65,350.6
06-05-2016,2768.13,2740.42,27.71,1154.35,974.55,179.8
05-05-2016,3721.95,4110.46,-388.51,1397.92,1146.13,251.79
04-05-2016,3705.95,3772.4,-66.45,1664.67,1743.47,-78.8
03-05-2016,3598.55,4353.83,-755.28,1945.94,1461.3,484.64
02-05-2016,2977.66,2542.73,434.93,944.81,1054.37,-109.56
29-04-2016,4399.71,4605.01,-205.3,1649.24,1621.11,28.13
28-04-2016,9061.04,8940.41,120.63,2245.92,2662.13,-416.21
27-04-2016,4412.63,4001.63,411.0,1656.53,1951.6,-295.07
26-04-2016,4855.69,4343.47,512.22,1488.41,1467.2,21.21
25-04-2016,5698.59,5476.25,222.34,1075.18,1823.13,-747.95
22-04-2016,3701.43,3510.36,191.07,1500.28,1668.92,-168.64
21-04-2016,5625.66,4820.24,805.42,2168.3,2102.58,65.72
20-04-2016,6021.67,6101.77,-80.1,1363.42,1663.51,-300.09
18-04-2016,6118.62,5140.64,977.98,1628.89,1942.11,-313.22
13-04-2016,4923.76,4279.49,644.27,2519.32,2249.43,269.89
08-04-2016,2609.08,2428.81,180.27,1235.43,1394.44,-159.01
06-04-2016,2600.13,3093.69,-493.56,1727.29,1468.61,258.68
05-04-2016,3262.01,4062.8,-800.79,1737.74,1681.89,55.85
04-04-2016,2948.11,2711.29,236.82,1311.55,1645.29,-333.74
01-04-2016,3725.52,3511.51,214.01,1159.75,1679.66,-519.91
31-03-2016,11230.72,7174.1,4056.62,3473.08,6363.65,-2890.57
30-03-2016,5866.32,4423.85,1442.47,1907.34,2304.24,-396.9
29-03-2016,4577.65,4064.2,513.45,1834.08,2390.77,-556.69
28-03-2016,5346.52,3303.58,2042.94,1408.82,3903.26,-2494.44
23-03-2016,3923.97,2947.06,976.91,1596.53,2619.11,-1022.58
22-03-2016,4945.28,3849.84,1095.44,1167.84,2098.21,-930.37
21-03-2016,4791.88,3395.55,1396.33,1497.69,2116.46,-618.77
18-03-2016,7132.64,5420.02,1712.62,1570.77,1974.14,-403.37
17-03-2016,4997.97,4253.48,744.49,1945.25,2113.63,-168.38
16-03-2016,3675.19,3049.61,625.58,1031.87,1712.03,-680.16
15-03-2016,3789.67,3843.68,-54.01,1512.28,1814.59,-302.31
14-03-2016,5564.95,4529.32,1035.63,1076.66,1882.0,-805.34
11-03-2016,3499.01,3120.65,378.36,1163.15,1595.96,-432.81
10-03-2016,4727.42,3664.31,1063.11,952.06,1550.09,-598.03
09-03-2016,4868.19,4405.33,462.86,1170.71,1994.27,-823.56
08-03-2016,7088.18,6313.11,775.07,800.77,2142.28,-1341.51
04-03-2016,4231.6,3560.03,671.57,1393.43,1926.53,-533.1
03-03-2016,4363.82,3451.84,911.98,1845.35,2310.1,-464.75
