Date,vix
31-12-2024,14.44999981
30-12-2024,13.97000027
27-12-2024,13.23999977
26-12-2024,14.03999996
24-12-2024,13.18000031
23-12-2024,13.52000046
20-12-2024,15.06999969
19-12-2024,14.51000023
18-12-2024,14.36999989
17-12-2024,14.48999977
16-12-2024,14.02000046
13-12-2024,13.05000019
12-12-2024,13.18999958
11-12-2024,13.27000046
10-12-2024,13.77999973
09-12-2024,14.10999966
06-12-2024,14.14000034
05-12-2024,14.52999973
04-12-2024,14.44999981
03-12-2024,14.36999989
02-12-2024,14.69999981
29-11-2024,14.43000031
28-11-2024,15.21000004
27-11-2024,14.63000011
26-11-2024,15.31000042
25-11-2024,15.30000019
22-11-2024,16.10000038
21-11-2024,15.98999977
19-11-2024,15.65999985
18-11-2024,15.17000008
14-11-2024,14.77999973
13-11-2024,15.43999958
12-11-2024,14.59000015
11-11-2024,14.27000046
08-11-2024,14.47000027
07-11-2024,14.93999958
06-11-2024,14.86999989
05-11-2024,16.12000084
04-11-2024,16.69000053
01-11-2024,15.89999962
31-10-2024,15.55000019
30-10-2024,15.51000023
29-10-2024,14.52000046
28-10-2024,14.28999996
25-10-2024,14.63000011
24-10-2024,13.97000027
23-10-2024,14.61999989
22-10-2024,14.39999962
21-10-2024,13.76000023
18-10-2024,13.03999996
17-10-2024,13.39000034
16-10-2024,13.05000019
15-10-2024,13
14-10-2024,13
11-10-2024,13.22000027
10-10-2024,13.5
09-10-2024,14.11999989
08-10-2024,14.59000015
07-10-2024,15.07999992
04-10-2024,14.13000011
03-10-2024,13.17000008
01-10-2024,11.98999977
30-09-2024,12.78999996
27-09-2024,11.96000004
26-09-2024,12
25-09-2024,12.73999977
24-09-2024,13.39000034
23-09-2024,13.78999996
20-09-2024,12.78999996
19-09-2024,12.47000027
18-09-2024,13.36999989
17-09-2024,12.59000015
16-09-2024,12.46000004
13-09-2024,12.55000019
12-09-2024,13.18000031
11-09-2024,13.63000011
10-09-2024,13.35999966
09-09-2024,14.23999977
06-09-2024,15.22000027
05-09-2024,14.21000004
04-09-2024,14.38000011
03-09-2024,13.84000015
02-09-2024,14.06000042
30-08-2024,13.39000034
29-08-2024,13.78999996
28-08-2024,13.94999981
27-08-2024,13.63000011
26-08-2024,13.80000019
23-08-2024,13.55000019
22-08-2024,13
21-08-2024,13.32999992
20-08-2024,13.81999969
19-08-2024,14.31999969
16-08-2024,14.39999962
14-08-2024,15.43999958
13-08-2024,16.17000008
12-08-2024,15.86999989
09-08-2024,15.34000015
08-08-2024,16.60000038
07-08-2024,16.17000008
06-08-2024,18.73999977
05-08-2024,20.37000084
02-08-2024,14.31999969
01-08-2024,12.93000031
31-07-2024,13.25
30-07-2024,12.88000011
29-07-2024,12.94999981
26-07-2024,12.25
25-07-2024,12.61999989
24-07-2024,11.76000023
23-07-2024,12.75
22-07-2024,15.43999958
19-07-2024,14.82999992
18-07-2024,14.51000023
16-07-2024,14.22000027
15-07-2024,14.18999958
12-07-2024,13.72999954
11-07-2024,14
10-07-2024,14.43000031
09-07-2024,14.27999973
08-07-2024,13.60000038
05-07-2024,12.69999981
04-07-2024,12.85999966
03-07-2024,13.21000004
02-07-2024,13.64000034
01-07-2024,13.82999992
28-06-2024,13.80000019
27-06-2024,14.14999962
26-06-2024,14.05000019
25-06-2024,14.31000042
24-06-2024,14.06000042
21-06-2024,13.18000031
20-06-2024,13.35000038
19-06-2024,13.71000004
18-06-2024,12.97000027
14-06-2024,12.81999969
13-06-2024,13.48999977
12-06-2024,14.39000034
11-06-2024,14.77000046
10-06-2024,16.39999962
07-06-2024,16.87999916
06-06-2024,16.79999924
05-06-2024,18.88999939
04-06-2024,26.75
03-06-2024,20.94000053
31-05-2024,24.60000038
30-05-2024,24.18000031
29-05-2024,24.18000031
28-05-2024,24.20000076
27-05-2024,23.19000053
24-05-2024,21.70999908
23-05-2024,21.37999916
22-05-2024,21.46999931
21-05-2024,21.80999947
17-05-2024,19.79999924
16-05-2024,20
15-05-2024,20.27000046
14-05-2024,20.20000076
13-05-2024,20.60000038
10-05-2024,18.46999931
09-05-2024,18.20000076
08-05-2024,17.07999992
07-05-2024,17.01000023
06-05-2024,16.60000038
03-05-2024,14.61999989
02-05-2024,13.44999981
30-04-2024,12.86999989
29-04-2024,12.23999977
26-04-2024,10.93000031
25-04-2024,10.72999954
24-04-2024,10.27999973
23-04-2024,10.19999981
22-04-2024,12.69999981
19-04-2024,13.46000004
18-04-2024,13.03999996
16-04-2024,12.61999989
15-04-2024,12.47000027
12-04-2024,11.52999973
10-04-2024,11.10999966
09-04-2024,11.35999966
08-04-2024,11.60999966
05-04-2024,11.34000015
04-04-2024,11.22000027
03-04-2024,11.36999989
02-04-2024,11.64999962
01-04-2024,12.07999992
28-03-2024,12.82999992
27-03-2024,12.69999981
26-03-2024,12.81999969
22-03-2024,12.22000027
21-03-2024,12.51000023
20-03-2024,13.47000027
19-03-2024,14.10999966
18-03-2024,13.89999962
15-03-2024,13.68999958
14-03-2024,13.61999989
13-03-2024,14.43000031
12-03-2024,13.64000034
11-03-2024,14
07-03-2024,13.60999966
06-03-2024,14.30000019
05-03-2024,14.38000011
04-03-2024,14.92000008
01-03-2024,15.23999977
29-02-2024,15.56999969
28-02-2024,16.32999992
27-02-2024,15.72999954
26-02-2024,15.60000038
23-02-2024,14.97000027
22-02-2024,15.19999981
21-02-2024,15.93000031
20-02-2024,16.06999969
16-02-2024,15.22000027
15-02-2024,15.22999954
14-02-2024,15.43999958
13-02-2024,15.81000042
12-02-2024,16.05999947
09-02-2024,15.44999981
08-02-2024,15.82999992
07-02-2024,15.51000023
06-02-2024,15.78999996
05-02-2024,15.61999989
02-02-2024,14.69999981
01-02-2024,14.46000004
31-01-2024,16.04999924
30-01-2024,16.10000038
29-01-2024,15.68000031
25-01-2024,13.86999989
24-01-2024,14.38000011
23-01-2024,14.85000038
19-01-2024,13.88000011
18-01-2024,14.06999969
17-01-2024,15.07999992
16-01-2024,13.56999969
15-01-2024,13.78999996
12-01-2024,13.10000038
11-01-2024,12.77000046
10-01-2024,12.97000027
09-01-2024,13.26000023
08-01-2024,13.46000004
05-01-2024,12.63000011
04-01-2024,13.32999992
03-01-2024,14.10000038
02-01-2024,14.57999992
29-12-2023,14.5
28-12-2023,15.14000034
27-12-2023,15.56000042
26-12-2023,14.68000031
22-12-2023,13.71000004
21-12-2023,13.76000023
20-12-2023,14.44999981
19-12-2023,13.86999989
18-12-2023,13.89999962
15-12-2023,13.13000011
14-12-2023,12.31999969
13-12-2023,12.06999969
12-12-2023,12.71000004
11-12-2023,12.76000023
08-12-2023,12.47000027
07-12-2023,12.67000008
06-12-2023,13.73999977
05-12-2023,13.46000004
04-12-2023,12.98999977
01-12-2023,12.38000011
30-11-2023,12.68999958
29-11-2023,12.71000004
28-11-2023,12.18000031
24-11-2023,11.32999992
23-11-2023,11.31999969
22-11-2023,11.86999989
21-11-2023,12.22999954
20-11-2023,12.14999962
17-11-2023,11.82999992
16-11-2023,11.64999962
15-11-2023,11.14000034
13-11-2023,11.18999958
10-11-2023,11.10999966
09-11-2023,10.97999954
08-11-2023,11.03999996
07-11-2023,11.18999958
06-11-2023,11.10999966
03-11-2023,10.88000011
02-11-2023,11.07999992
01-11-2023,12.05000019
31-10-2023,11.82999992
30-10-2023,11.48999977
27-10-2023,10.90999985
26-10-2023,11.72999954
25-10-2023,11.31000042
23-10-2023,10.90999985
20-10-2023,10.81999969
19-10-2023,10.89999962
18-10-2023,10.97000027
17-10-2023,10.69999981
16-10-2023,11.06999969
13-10-2023,10.61999989
12-10-2023,10.61999989
11-10-2023,10.98999977
10-10-2023,11.27000046
09-10-2023,11.39999962
06-10-2023,10.30000019
05-10-2023,10.93999958
04-10-2023,11.65999985
03-10-2023,11.78999996
29-09-2023,11.44999981
28-09-2023,12.81999969
27-09-2023,11.59000015
26-09-2023,11.18999958
25-09-2023,10.89999962
22-09-2023,10.65999985
21-09-2023,10.81999969
20-09-2023,11.13000011
18-09-2023,10.84000015
15-09-2023,10.89999962
14-09-2023,11.31999969
13-09-2023,11.82999992
12-09-2023,11.68999958
11-09-2023,11.35000038
08-09-2023,10.77999973
07-09-2023,10.86999989
06-09-2023,10.68000031
05-09-2023,10.81999969
04-09-2023,10.96000004
01-09-2023,11.36999989
31-08-2023,12.06000042
30-08-2023,11.80000019
29-08-2023,12.22999954
28-08-2023,12.39999962
25-08-2023,12.07999992
24-08-2023,11.69999981
23-08-2023,11.72999954
22-08-2023,11.75
21-08-2023,11.96000004
18-08-2023,12.14000034
17-08-2023,12.23999977
16-08-2023,12.13000011
14-08-2023,12
11-08-2023,11.52000046
10-08-2023,11.39999962
09-08-2023,11.14000034
08-08-2023,11.32999992
07-08-2023,11.10000038
04-08-2023,10.56999969
03-08-2023,11.18999958
02-08-2023,11.27999973
01-08-2023,10.27999973
31-07-2023,10.40999985
28-07-2023,10.14000034
27-07-2023,10.51000023
26-07-2023,10.46000004
25-07-2023,10.23999977
24-07-2023,11.64999962
21-07-2023,11.48999977
20-07-2023,11.78999996
19-07-2023,11.60000038
18-07-2023,11.71000004
17-07-2023,11.31999969
14-07-2023,10.68000031
13-07-2023,10.93999958
12-07-2023,10.93999958
11-07-2023,11.01000023
10-07-2023,11.46000004
07-07-2023,11.52999973
06-07-2023,11.84000015
05-07-2023,11.88000011
04-07-2023,11.69999981
03-07-2023,11.53999996
30-06-2023,10.80000019
28-06-2023,10.89000034
27-06-2023,10.77999973
26-06-2023,11.39999962
23-06-2023,11.23999977
22-06-2023,11.55000019
21-06-2023,11.28999996
20-06-2023,11.13000011
19-06-2023,11.22999954
16-06-2023,10.84000015
15-06-2023,11.07999992
14-06-2023,11.15999985
13-06-2023,11.10999966
12-06-2023,11.25
09-06-2023,11.11999989
08-06-2023,11.26000023
07-06-2023,11.43999958
06-06-2023,11.38000011
05-06-2023,11.14000034
02-06-2023,11.13000011
01-06-2023,11.60000038
31-05-2023,11.97000027
30-05-2023,12.01000023
29-05-2023,12.30000019
26-05-2023,11.89999962
25-05-2023,12.52000046
24-05-2023,13.10999966
23-05-2023,12.60999966
22-05-2023,12.56999969
19-05-2023,12.30000019
18-05-2023,12.80000019
17-05-2023,13.10999966
16-05-2023,13.28999996
15-05-2023,13.17000008
12-05-2023,12.85000038
11-05-2023,13.22000027
10-05-2023,13.07999992
09-05-2023,12.68000031
08-05-2023,12.64000034
05-05-2023,12.30000019
04-05-2023,11.72999954
03-05-2023,11.84000015
02-05-2023,11.89999962
28-04-2023,10.94999981
27-04-2023,11.43000031
26-04-2023,11.64999962
25-04-2023,11.52000046
24-04-2023,11.67000008
21-04-2023,11.63000011
20-04-2023,11.93999958
19-04-2023,12.14999962
18-04-2023,12.07999992
17-04-2023,12.27000046
13-04-2023,11.90999985
12-04-2023,12.27000046
11-04-2023,11.97999954
10-04-2023,12.27000046
06-04-2023,11.80000019
05-04-2023,12.40999985
03-04-2023,12.59000015
31-03-2023,12.93999958
29-03-2023,13.63000011
28-03-2023,15.10000038
27-03-2023,15.44999981
24-03-2023,15.23999977
23-03-2023,14.48999977
22-03-2023,14.81000042
21-03-2023,15.07999992
20-03-2023,16.01000023
17-03-2023,14.77000046
16-03-2023,16.21999931
15-03-2023,16.29999924
14-03-2023,16.21999931
13-03-2023,16.21999931
10-03-2023,13.40999985
09-03-2023,12.72999954
08-03-2023,12.44999981
06-03-2023,12.27000046
03-03-2023,12.18000031
02-03-2023,12.97000027
01-03-2023,13
28-02-2023,14.02000046
27-02-2023,13.88000011
24-02-2023,14.18999958
23-02-2023,15.07999992
22-02-2023,15.59000015
21-02-2023,14.01000023
20-02-2023,13.38000011
17-02-2023,13.09000015
16-02-2023,12.89000034
15-02-2023,12.85999966
14-02-2023,13.44999981
13-02-2023,13.68000031
10-02-2023,12.75
09-02-2023,13.03999996
08-02-2023,13.60000038
07-02-2023,14.13000011
06-02-2023,14.68999958
03-02-2023,14.39999962
02-02-2023,15.72999954
01-02-2023,16.78000069
31-01-2023,16.87999916
30-01-2023,17.70999908
27-01-2023,17.31999969
25-01-2023,14.65999985
24-01-2023,13.65999985
23-01-2023,13.61999989
20-01-2023,13.78999996
19-01-2023,13.96000004
18-01-2023,14.36999989
17-01-2023,14.59000015
16-01-2023,15.02000046
13-01-2023,14.46000004
12-01-2023,15.27999973
11-01-2023,15.43999958
10-01-2023,15.51000023
09-01-2023,14.64999962
06-01-2023,15.02999973
05-01-2023,14.97999954
04-01-2023,15.19999981
03-01-2023,14.39000034
02-01-2023,14.68999958
30-12-2022,14.86999989
29-12-2022,14.81000042
28-12-2022,15.39999962
27-12-2022,15.28999996
23-12-2022,16.15999985
22-12-2022,15.18999958
21-12-2022,15.56000042
20-12-2022,13.77999973
19-12-2022,13.55000019
16-12-2022,14.06999969
15-12-2022,13.72999954
14-12-2022,12.89000034
