Date,Open,High,Low,Close
2011-01-04,5835,5860.200195,5810.399902,5826.049805
2011-01-06,5561.049805,5597.350098,5559.450195,5592
2011-01-07,5705.75,5705.799805,5609.75,5627.200195
2011-01-08,5527.5,5551.899902,5486.450195,5516.799805
2011-01-11,5278.600098,5310.850098,5238.299805,5257.950195
2011-01-12,4970.850098,5011.899902,4916.700195,4936.850098
2011-02-05,5766.899902,5775.25,5687.700195,5701.299805
2011-02-06,5529.899902,5568.200195,5521.950195,5550.350098
2011-02-08,5493.200195,5496.299805,5433.649902,5456.549805
2011-02-09,5109.799805,5113.700195,4993.350098,5040
2011-02-11,5216.75,5300.100098,5204.950195,5258.450195
2011-02-12,4940.850098,5062.549805,4918.399902,5050.149902
2011-03-05,5689.700195,5710.799805,5554.850098,5565.25
2011-03-06,5565.700195,5604.950195,5507.200195,5516.75
2011-03-08,5402,5422.600098,5378.850098,5404.799805
2011-03-10,4874.399902,4879.149902,4823.899902,4849.5
2011-03-11,5241.549805,5281.600098,5201.850098,5265.75
2011-04-04,5842,5918.700195,5833.200195,5908.450195
2011-04-05,5567.700195,5578.799805,5503,5537.149902
2011-04-07,5679.549805,5679.649902,5633.100098,5650.5
2011-04-08,5412.399902,5434.5,5323.149902,5331.799805
2011-04-10,4823.5,4869.75,4728.299805,4772.149902
2011-04-11,5325.399902,5326.450195,5256.799805,5284.200195
2011-05-04,5923.850098,5928.649902,5855.850098,5910.049805
2011-05-05,5531.600098,5560.299805,5443.649902,5459.850098
2011-05-07,5659.850098,5659.850098,5612.299805,5632.100098
2011-05-08,5204.350098,5229.649902,5116.450195,5211.25
2011-05-09,4998.899902,5030.299805,4964.450195,5017.200195
2011-05-10,4791.299805,4827.799805,4741,4751.299805
2011-05-12,5036.5,5055.399902,5002.549805,5039.149902
2011-06-04,5908,5944.450195,5868.799805,5891.75
2011-06-05,5477.649902,5564.399902,5472.450195,5551.450195
2011-06-06,5504.299805,5542.649902,5479.850098,5532.049805
2011-06-07,5622.700195,5655.399902,5610.75,5625.450195
2011-06-09,4993.350098,5072.899902,4942.899902,5064.299805
2011-07-04,5888.549805,5906.100098,5866.25,5885.700195
2011-07-06,5509.149902,5570.100098,5507.799805,5556.149902
2011-07-07,5633.350098,5737.149902,5632.950195,5728.950195
2011-07-09,5080.149902,5154.5,5076.299805,5124.649902
2011-07-10,4883.649902,4922.600098,4861.200195,4888.049805
2011-07-12,5050.100098,5099.25,5032.25,5062.600098
2011-08-04,5886.75,5926.950195,5822,5842
2011-08-06,5535.25,5556.600098,5514.899902,5526.850098
2011-08-07,5734.649902,5740.399902,5651.049805,5660.649902
2011-08-08,5083.850098,5204.200195,5054.049805,5118.5
2011-08-09,5139.200195,5169.25,5098.25,5153.25
2011-08-11,5292.25,5304.25,5252,5289.350098
2011-08-12,5037.399902,5049.049805,4921.450195,4943.649902
2011-09-05,5575.200195,5586.049805,5502.399902,5551.100098
2011-09-06,5523.549805,5540.100098,5502.049805,5521.049805
2011-09-08,4947.899902,5167,4946.450195,5072.850098
2011-09-09,5161.299805,5163.75,5046.799805,5059.450195
2011-09-11,5309.700195,5317.5,5211.75,5221.049805
2011-09-12,4870.75,4918.350098,4841.75,4866.700195
2011-10-05,5555.549805,5592.899902,5514.549805,5541.25
2011-10-06,5518.049805,5521.450195,5457.450195,5485.799805
2011-10-08,5196.549805,5197.950195,5123.350098,5161
2011-10-10,4886.850098,4991.149902,4882.049805,4979.600098
2011-11-04,5805.350098,5830.299805,5777.899902,5785.700195
2011-11-05,5547.200195,5574.700195,5525,5565.049805
2011-11-07,5648.049805,5652.899902,5601.700195,5616.100098
2011-11-08,5128,5184.950195,5121,5138.299805
2011-11-10,5019.899902,5045.100098,4964,4974.350098
2011-11-11,5159.75,5198.600098,5142.25,5168.850098
2011-12-05,5537.799805,5572.5,5476.299805,5486.149902
2011-12-07,5556.899902,5580.25,5496.950195,5526.149902
2011-12-08,5194.399902,5194.450195,5053.350098,5072.950195
2011-12-09,4981.700195,4985.600098,4911.25,4946.799805
2011-12-10,5011.200195,5109.799805,4997.649902,5099.399902
2011-12-12,4906.850098,4910.25,4755.549805,4764.600098
2012-01-02,5198.149902,5244.600098,5159,5235.700195
2012-01-03,5366,5372.450195,5297.5,5339.75
2012-01-06,4910.850098,4925,4831.75,4841.600098
2012-01-08,5220.700195,5246.350098,5212.649902,5240.5
2012-01-10,5704.75,5722.950195,5694,5718.799805
2012-01-11,5609.850098,5649.75,5601.950195,5645.049805
2012-02-02,5272.100098,5289.950195,5225.75,5269.899902
2012-02-03,5369.450195,5392.549805,5315.049805,5359.350098
2012-02-04,5296.350098,5331.549805,5278.799805,5317.899902
