Date,Open,High,Low,Close
01-01-2013,5937.65,5963.9,5935.2,5950.85
02-01-2013,5982.6,6006.05,5982,5993.25
03-01-2013,6015.8,6017,5986.55,6009.5
04-01-2013,6011.95,6020.75,5981.55,6016.15
07-01-2013,6042.15,6042.15,5977.15,5988.4
08-01-2013,5983.45,6007.05,5964.4,6001.7
09-01-2013,6006.2,6020.1,5958.45,5971.5
10-01-2013,5998.8,6005.15,5947.3,5968.65
11-01-2013,6012.4,6018.85,5940.6,5951.3
14-01-2013,5967.2,6036.9,5962.15,6024.05
15-01-2013,6037.85,6068.5,6018.6,6056.6
16-01-2013,6049,6055.95,5992.05,6001.85
17-01-2013,6001.25,6053.2,5988.1,6039.2
18-01-2013,6059.85,6083.4,6048.3,6064.4
21-01-2013,6085.75,6094.35,6065.1,6082.3
22-01-2013,6080.15,6101.3,6040.5,6048.5
23-01-2013,6052.85,6069.8,6021.15,6054.3
24-01-2013,6046.2,6065.3,6007.85,6019.35
25-01-2013,6024.5,6080.55,6014.45,6074.65
28-01-2013,6082.1,6088.4,6061.4,6074.8
29-01-2013,6064.7,6111.8,6042.45,6049.9
30-01-2013,6065,6071.95,6044.15,6055.75
31-01-2013,6045.65,6058.05,6025.15,6034.75
01-02-2013,6040.95,6052.95,5983.2,5998.9
04-02-2013,6025.2,6038.5,5981.25,5987.25
05-02-2013,5948.2,5970.35,5946.9,5956.9
06-02-2013,5988.05,5990.9,5953.15,5959.2
07-02-2013,5936.45,5978.5,5927.6,5938.8
08-02-2013,5929.1,5953.7,5883.65,5903.5
11-02-2013,5920.05,5924.15,5879.1,5897.85
12-02-2013,5894.35,5927.65,5886.45,5922.5
13-02-2013,5943.15,5969.5,5922.95,5932.95
14-02-2013,5933.2,5940.2,5884.55,5896.95
15-02-2013,5869.95,5899.95,5853.9,5887.4
18-02-2013,5888.65,5911,5878.45,5898.2
19-02-2013,5900.2,5947.55,5883.15,5939.7
20-02-2013,5966.3,5971,5937.55,5943.05
21-02-2013,5909.65,5921.15,5844.4,5852.25
22-02-2013,5837.95,5873.8,5835.8,5850.3
25-02-2013,5870.55,5878.4,5825,5854.75
26-02-2013,5838.3,5838.85,5748.6,5761.35
27-02-2013,5784.9,5818.2,5749.7,5796.9
28-02-2013,5834.35,5849.9,5671.9,5693.05
01-03-2013,5702.45,5739.45,5679.9,5719.7
04-03-2013,5704.7,5712,5663.6,5698.5
05-03-2013,5722.45,5790.1,5722.4,5784.25
06-03-2013,5816.4,5828.7,5795.05,5818.6
07-03-2013,5801.3,5878,5801.3,5863.3
08-03-2013,5883.65,5952.85,5883,5945.7
11-03-2013,5946.1,5971.2,5930.35,5942.35
12-03-2013,5944.6,5952,5893.65,5914.1
13-03-2013,5884.8,5893.85,5842.25,5851.2
14-03-2013,5845.95,5920.15,5791.75,5908.95
15-03-2013,5914.9,5945.65,5861,5872.6
18-03-2013,5816.75,5850.2,5814.35,5835.25
19-03-2013,5859.5,5863.6,5724.3,5745.95
20-03-2013,5740.55,5745.3,5682.3,5694.4
21-03-2013,5705.9,5757.75,5647.95,5658.75
22-03-2013,5659.8,5691.45,5631.8,5651.35
25-03-2013,5707.3,5718.4,5624.4,5633.85
26-03-2013,5613.75,5655.3,5612.05,5641.6
28-03-2013,5647.75,5692.95,5604.85,5682.55
01-04-2013,5697.35,5720.95,5675.9,5704.4
02-04-2013,5701.7,5754.6,5687.15,5748.1
03-04-2013,5740.2,5744.95,5650.1,5672.9
04-04-2013,5640.65,5644.45,5565.65,5574.75
05-04-2013,5568.1,5577.3,5534.7,5553.25
08-04-2013,5550.5,5569.2,5537.05,5542.95
09-04-2013,5568.75,5603.05,5487,5495.1
10-04-2013,5536.25,5569.25,5477.2,5558.7
11-04-2013,5601.65,5610.65,5542.85,5594
