Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JAN-2019,16,16.4,15.15,15.325,16,-0.68,-4.22
02-JAN-2019,15.325,16.9475,14.8375,16.3875,15.325,1.06,6.93
03-JAN-2019,16.3875,17.1475,15.435,16.79,16.3875,0.40,2.46
04-JAN-2019,16.79,16.9725,15.485,16.1625,16.79,-0.63,-3.74
07-JAN-2019,16.1625,16.455,15.3025,16.3025,16.1625,0.14,0.87
08-JAN-2019,16.3025,16.5725,14.735,15.7,16.3025,-0.60,-3.70
09-JAN-2019,15.7,16.3225,13.895,15.27,15.7,-0.43,-2.74
10-JAN-2019,15.27,15.6075,14.1475,15.345,15.27,0.08,0.49
11-JAN-2019,15.345,15.83,14.3625,15.3525,15.345,0.01,0.05
14-JAN-2019,15.3525,16.5525,15.3525,16.1575,15.3525,0.81,5.24
15-JAN-2019,16.1575,16.1575,12.9925,15.5825,16.1575,-0.58,-3.56
16-JAN-2019,15.5825,16.3075,12.8,16.0775,15.5825,0.50,3.18
17-JAN-2019,16.0775,16.4275,12.9925,16.2425,16.0775,0.17,1.03
18-JAN-2019,16.2425,16.905,12.3075,16.6175,16.2425,0.38,2.31
21-JAN-2019,16.6175,18.34,14.36,18.1475,16.6175,1.53,9.21
22-JAN-2019,18.1475,18.4725,15.51,17.985,18.1475,-0.16,-0.90
23-JAN-2019,17.985,18.2875,12.015,18.085,17.985,0.10,0.56
24-JAN-2019,18.085,18.3775,14.5425,17.435,18.085,-0.65,-3.59
25-JAN-2019,17.435,18.14,14.365,17.69,17.435,0.26,1.46
28-JAN-2019,17.69,19.28,14.5875,18.8975,17.69,1.21,6.83
29-JAN-2019,18.8975,19.795,18.04,18.4275,18.8975,-0.47,-2.49
30-JAN-2019,18.4275,18.4275,15.9775,17.85,18.4275,-0.58,-3.13
31-JAN-2019,17.85,17.85,16.445,17.1225,17.85,-0.73,-4.08
01-FEB-2019,17.1225,17.185,15.545,15.72,17.1225,-1.40,-8.19
04-FEB-2019,15.72,16.4525,14.9675,15.7225,15.72,0.00,0.02
05-FEB-2019,15.7225,15.9775,14.605,15.78,15.7225,0.06,0.37
06-FEB-2019,15.78,15.9725,12.8325,15.63,15.78,-0.15,-0.95
07-FEB-2019,15.63,16.2225,13.5975,15.435,15.63,-0.20,-1.25
08-FEB-2019,15.435,15.815,12.9675,15.5675,15.435,0.13,0.86
11-FEB-2019,15.5675,16.355,13.46,15.84,15.5675,0.27,1.75
12-FEB-2019,15.84,15.975,13.23,15.75,15.84,-0.09,-0.57
13-FEB-2019,15.75,15.9025,11.81,15.73,15.75,-0.02,-0.13
14-FEB-2019,15.73,16.5775,12.09,15.7725,15.73,0.04,0.27
15-FEB-2019,15.7725,17.535,12.4475,16.46,15.7725,0.69,4.36
18-FEB-2019,16.46,18.1925,11.85,18,16.46,1.54,9.36
19-FEB-2019,18,18.605,15.2575,18.4675,18,0.47,2.60
20-FEB-2019,18.4675,18.4675,15.2375,17.055,18.4675,-1.41,-7.65
21-FEB-2019,17.055,17.1725,12.1275,16.0525,17.055,-1.00,-5.88
22-FEB-2019,16.0525,16.0525,12.315,15.45,16.0525,-0.60,-3.75
25-FEB-2019,15.45,16.035,11.7,15.3575,15.45,-0.09,-0.60
26-FEB-2019,15.3575,18.0975,13.12,17.115,15.3575,1.76,11.44
27-FEB-2019,17.115,19.9775,14.13,18.8975,17.115,1.78,10.41
28-FEB-2019,18.8975,18.8975,17.065,18.2775,18.8975,-0.62,-3.28
01-MAR-2019,18.2775,18.2775,15.895,16.275,18.2775,-2.00,-10.96
05-MAR-2019,16.275,16.86,15.45,15.6575,16.275,-0.62,-3.79
06-MAR-2019,15.6575,15.735,14.2875,15.61,15.6575,-0.05,-0.30
07-MAR-2019,15.61,15.6875,14.3125,15.2925,15.61,-0.32,-2.03
08-MAR-2019,15.2925,15.4125,12.92,14.94,15.2925,-0.35,-2.31
11-MAR-2019,14.94,15.38,13.67,14.895,14.94,-0.05,-0.30
12-MAR-2019,14.895,15.1975,13.84,15.0975,14.895,0.20,1.36
13-MAR-2019,15.0975,15.595,12.3,15.2775,15.0975,0.18,1.19
14-MAR-2019,15.2775,15.5225,13.7625,15.15,15.2775,-0.13,-0.83
15-MAR-2019,15.15,16.3925,11.845,15.865,15.15,0.72,4.72
18-MAR-2019,15.865,17.1875,14.2675,16.9,15.865,1.04,6.52
19-MAR-2019,16.9,17.1775,14.55,16.4925,16.9,-0.41,-2.41
20-MAR-2019,16.4925,16.4925,14.485,16.0325,16.4925,-0.46,-2.79
22-MAR-2019,16.0325,16.805,12.675,16.275,16.0325,0.24,1.51
25-MAR-2019,16.275,17.0275,14.2575,16.6725,16.275,0.40,2.44
26-MAR-2019,16.6725,16.6725,15.5175,16.485,16.6725,-0.19,-1.12
27-MAR-2019,16.485,17.4225,14.545,17.0475,16.485,0.56,3.41
28-MAR-2019,17.0475,17.3325,15.75,16.6525,17.0475,-0.40,-2.32
29-MAR-2019,16.6525,17.43,16.2375,17.185,16.6525,0.53,3.20
01-APR-2019,17.185,18.22,17.185,18.005,17.185,0.82,4.77
02-APR-2019,18.005,18.5525,17.44,18.0825,18.005,0.08,0.43
03-APR-2019,18.0825,18.8825,17.29,18.7825,18.0825,0.70,3.87
04-APR-2019,18.7825,19.325,18.25,18.65,18.7825,-0.13,-0.71
05-APR-2019,18.65,19.075,16.7625,18.3925,18.65,-0.26,-1.38
08-APR-2019,18.3925,20.4575,18.3925,20.1525,18.3925,1.76,9.57
09-APR-2019,20.1525,20.6625,16.55,20.28,20.1525,0.13,0.63
10-APR-2019,20.28,21.28,18.7,21.13,20.28,0.85,4.19
11-APR-2019,21.13,21.34,19.4125,20.9575,21.13,-0.17,-0.82
12-APR-2019,20.9575,21.3025,18.675,20.9975,20.9575,0.04,0.19
15-APR-2019,20.9975,22.24,18.76,21.3875,20.9975,0.39,1.86
16-APR-2019,21.3875,21.885,19.6725,21.6925,21.3875,0.31,1.43
18-APR-2019,21.6925,23.045,18.5,22.735,21.6925,1.04,4.81
22-APR-2019,22.735,24.5625,20.4075,24.05,22.735,1.32,5.78
23-APR-2019,24.05,26.3175,22.7775,24.645,24.05,0.60,2.47
24-APR-2019,24.645,25.125,23.445,23.7125,24.645,-0.93,-3.78
25-APR-2019,23.7125,25.535,22.7275,23.2325,23.7125,-0.48,-2.02
26-APR-2019,23.2325,23.9625,21.4325,21.7175,23.2325,-1.52,-6.52
30-APR-2019,21.7175,22.775,20.76,21.8275,21.7175,0.11,0.51
02-MAY-2019,21.8275,23.265,21.7675,22.9825,21.8275,1.16,5.29
03-MAY-2019,22.9825,24.1525,21.0975,24.0325,22.9825,1.05,4.57
06-MAY-2019,24.0325,27.835,19.74,26.4325,24.0325,2.40,9.99
07-MAY-2019,26.4325,26.81,23.0925,26.4775,26.4325,0.05,0.17
08-MAY-2019,26.4775,27.025,23.245,26.365,26.4775,-0.11,-0.42
09-MAY-2019,26.365,26.495,23.485,25.485,26.365,-0.88,-3.34
10-MAY-2019,25.485,26.525,24.535,26.335,25.485,0.85,3.34
13-MAY-2019,26.335,28.0625,23.7125,27.3825,26.335,1.05,3.98
14-MAY-2019,27.3825,27.76,22.39,27.1325,27.3825,-0.25,-0.91
15-MAY-2019,27.1325,29.0825,23.18,28.6575,27.1325,1.53,5.62
16-MAY-2019,28.6575,29.3275,23.7825,28.37,28.6575,-0.29,-1.00
17-MAY-2019,28.37,29.2325,25.4975,28.075,28.37,-0.30,-1.04
20-MAY-2019,28.075,28.075,19.76,23.675,28.075,-4.40,-15.67
21-MAY-2019,23.675,28.1025,20.2425,25.6525,23.675,1.98,8.35
22-MAY-2019,25.6525,30.1825,19.04,27.6325,25.6525,1.98,7.72
23-MAY-2019,27.6325,27.6325,18.9575,19.405,27.6325,-8.23,-29.77
24-MAY-2019,19.405,19.405,14.4925,16.4675,19.405,-2.94,-15.14
27-MAY-2019,16.4675,17.335,13.48,16.19,16.4675,-0.28,-1.69
28-MAY-2019,16.19,16.54,15.38,15.9225,16.19,-0.27,-1.65
29-MAY-2019,15.9225,16.5075,14.4775,16.4075,15.9225,0.49,3.05
30-MAY-2019,16.4075,16.4075,14.8525,15.61,16.4075,-0.80,-4.86
31-MAY-2019,15.61,16.7875,14.19,16.0675,15.61,0.46,2.93
03-JUN-2019,16.0675,16.2325,14.075,15.9675,16.0675,-0.10,-0.62
