date,vix
2021-12-11,15.22000027
2021-12-10,15.85000038
2021-12-08,12.36999989
2021-12-07,12.98999977
2021-12-05,20.07999992
2021-12-04,23.0
2021-12-03,21.70999908
2021-12-02,22.04000092
2021-12-01,22.85000038
2021-11-11,16.35000038
2021-11-10,16.09000015
2021-11-08,12.71000004
2021-11-06,14.10000038
2021-11-02,23.04999924
2021-11-01,22.37999916
2021-10-12,16.05999947
2021-10-11,16.30999947
2021-10-08,12.71000004
2021-10-06,15.0
2021-10-05,20.22999954
2021-10-03,20.75
2021-10-02,23.95000076
2021-09-12,16.60000038
2021-09-11,16.0
2021-09-09,13.93999958
2021-09-08,12.60999966
2021-09-07,12.93999958
2021-09-06,14.75
2021-09-04,19.79000092
2021-09-03,22.5
2021-09-02,24.27000046
2021-08-12,17.27000046
2021-08-11,16.34000015
2021-08-10,15.64999962
2021-08-09,14.40999985
2021-08-07,13.56000042
2021-08-06,15.22999954
2021-08-04,20.30999947
2021-08-03,24.68000031
2021-08-02,23.95999908
2021-08-01,20.63999939
2021-07-12,18.45999908
2021-07-10,16.15999985
2021-07-09,14.89999962
2021-07-07,12.21000004
2021-07-06,15.56999969
2021-07-05,20.81999969
2021-07-04,20.25
2021-07-01,20.62000084
2021-06-12,20.07999992
2021-06-10,17.32999992
2021-06-09,15.10999966
2021-06-08,12.60999966
2021-06-07,12.27999973
2021-06-05,22.04000092
2021-06-04,20.84000015
2021-06-01,21.0
2021-05-10,16.39999962
2021-05-08,12.86999989
2021-05-04,21.21999931
2021-05-03,25.55999947
2021-05-02,23.42000008
2021-05-01,20.45999908
2021-04-11,15.75
2021-04-10,16.73999977
2021-04-08,13.21000004
2021-04-06,15.93999958
2021-04-05,23.01000023
2021-04-03,24.14999962
2021-04-02,23.12000084
2021-04-01,20.03000069
2021-03-12,18.45000076
2021-03-11,16.12999916
2021-03-09,14.53999996
2021-03-08,13.75
2021-03-06,15.75
2021-03-05,23.69000053
2021-03-03,22.09000015
2021-03-02,23.75
2021-02-12,18.09000015
2021-02-11,17.05999947
2021-02-09,14.23999977
2021-02-08,12.81000042
2021-02-07,12.09000015
2021-02-06,17.20999908
2021-02-03,23.61000061
2021-02-02,23.35000038
2021-01-12,19.45000076
2021-01-11,17.23999977
2021-01-10,17.20999908
2021-01-09,14.18999958
2021-01-07,12.84000015
2021-01-06,17.38999939
2021-01-04,19.98999977
2021-01-03,25.62999916
2021-01-02,23.31999969
2016-12-12,16.19000053
2016-12-09,15.23999977
2016-12-08,13.77000046
2016-12-07,14.77999973
2016-12-05,16.32999992
2016-12-04,16.02000046
2016-12-02,24.67000008
2016-12-01,18.70999908
2016-11-11,17.36000061
2016-11-08,14.21000004
2016-11-07,14.85000038
2016-11-05,16.95999908
2016-11-04,16.01000023
2016-11-03,17.10000038
2016-11-02,25.96999931
2016-11-01,18.69000053
2016-10-11,15.46000004
2016-10-10,14.28999996
2016-10-08,14.92000008
2016-10-06,15.97000027
2016-10-05,16.42000008
2016-10-03,17.89999962
2016-10-02,22.46999931
2016-09-12,15.06999969
2016-09-11,16.62000084
2016-09-09,13.22999954
2016-09-08,14.53999996
2016-09-06,15.67000008
2016-09-05,16.61000061
2016-09-03,17.51000023
2016-09-02,21.72999954
2016-08-12,15.52999973
2016-08-11,16.77000046
2016-08-09,13.11999989
2016-08-08,14.59000015
2016-08-07,15.07999992
2016-08-06,15.14000034
2016-08-04,16.43000031
2016-08-03,18.46999931
2016-08-02,20.26000023
2016-08-01,17.79999924
2016-07-12,16.85000038
2016-07-11,16.51000023
2016-07-10,14.48999977
2016-07-09,13.14999962
2016-07-07,15.31000042
2016-07-06,14.86999989
2016-07-04,16.93000031
2016-07-01,18.95999908
2016-06-12,17.11000061
2016-06-10,14.84000015
2016-06-09,12.75
2016-06-06,15.35999966
